country,year,biomass_relative_to,SST,Trawling_Hours,country_encoded
Atlantic cod Faroe Plateau,1973,23745980,29.62,25826.62,76
Atlantic cod Flemish Cap,1973,0,30.38,26341.71,77
Atlantic cod ICES 3a(west)-4-7d,1973,14066670,30.95,26754.14,80
Atlantic cod Iceland Grounds,1973,11181820,28.85,25344.49,81
Atlantic cod Irish Sea,1973,23909010,28.93,25379.11,82
Atlantic cod NAFO 1abdce,1973,0,30.31,26364.36,84
Atlantic cod NAFO 1f and ICES 14,1973,62690,28.31,24977.01,85
Atlantic cod NAFO Subarea 1 (inshore),1973,0,27.27,24364.07,87
Atlantic cod North-East Arctic,1973,7043480,28.49,25081.57,88
Atlantic cod Northern Gulf of St. Lawrence,1973,0,28.59,25191.39,90
Atlantic cod Southern Grand Banks,1973,0,28.43,25073.05,92
Atlantic cod Southern Gulf of St. Lawrence,1973,0,29.29,25664.94,93
Atlantic cod Southern Labrador-Eastern Newfoundland,1973,5220,28.08,24839.69,94
Atlantic cod St. Pierre Bank,1973,0,28.21,24918.07,95
Atlantic cod Western Baltic,1973,0,30.35,26329.44,97
"Atlantic cod Western Scotian Shelf, Bay of Fundy and Gulf of Maine",1973,0,29.29,25605.72,98
Atlantic croaker Mid-Atlantic Coast,1973,4562420,30.77,26633.32,99
Atlantic halibut Gulf of Maine / Georges Bank,1973,170410,28.25,25010.6,100
Atlantic halibut Scotian Shelf and Southern Grand Banks,1973,6367350,28.93,25366.04,101
Atlantic menhaden Atlantic,1973,614070,28.71,25306.0,102
Atlantic sharpnose shark Atlantic,1973,19716780,28.02,24813.9,103
Atlantic surfclam Mid-Atlantic Coast,1973,0,29.28,25653.51,104
Atlantic wolffish Gulf of Maine / Georges Bank,1973,0,28.54,25148.05,105
Aurora rockfish Pacific Coast,1973,26095240,30.24,26320.12,106
Australian salmon New Zealand,1973,17098850,29.62,25908.93,107
Barndoor skate Gulf of Maine / Georges Bank-Southern New England,1973,0,28.08,24843.98,109
Big skate Hecate Strait,1973,0,30.03,26165.86,118
Big skate Queen Charlotte Sound,1973,0,29.71,25884.21,119
Big skate West Coast of Vancouver Island,1973,0,28.07,24848.86,121
Bigeye tuna Atlantic Ocean,1973,2260,29.95,26122.11,124
Bigeye tuna Central Western Pacific Ocean,1973,2370,29.76,25903.11,125
Bigeye tuna Eastern Pacific,1973,0,29.76,25945.47,126
Bigeye tuna Indian Ocean,1973,0,29.88,25948.12,127
Bight redfish Southeast Australia,1973,25025090,29.27,25699.0,128
Black cardinalfish East coast of North Island,1973,24997210,30.38,26366.82,135
Black marlin Indian Ocean,1973,1890,28.33,24987.23,137
Black oreo West end of Chatham Rise,1973,32449780,29.64,25881.87,139
Black rockfish California,1973,1080,30.1,26201.67,140
Black rockfish Oregon Coast,1973,23834460,31.18,26866.04,141
Black rockfish Washington,1973,1170870,29.76,25945.38,142
Black sea bass Mid-Atlantic Coast,1973,0,29.4,25774.8,145
Black sea bass South Atlantic,1973,0,29.3,25680.98,146
Blackgill rockfish Pacific Coast,1973,20332560,29.41,25765.93,147
Blacknose shark Atlantic,1973,21686820,27.95,24756.83,150
Blue crab Chesapeake Bay,1973,0,30.85,26657.06,158
Blue grenadier New South Wales to Western Australia,1973,20833360,29.15,25562.73,159
Blue ling ICES 5b-6-7,1973,0,30.77,26644.13,165
Blue marlin Atlantic Ocean,1973,860,29.86,26056.67,166
Blue marlin Pacific Ocean,1973,32309510,29.52,25774.6,167
Blue rockfish California,1973,20457280,31.39,27008.79,168
Blue shark North Pacific Ocean,1973,1550,28.66,25224.72,169
Bluenose New Zealand,1973,24317090,30.66,26509.12,178
Bocaccio British Columbia Waters,1973,5771070,30.35,26371.2,181
Bocaccio Southern Pacific Coast,1973,0,28.68,25285.34,182
Bonnethead shark Atlantic,1973,28092240,29.9,26025.5,184
Brill Baltic Areas 22-32,1973,0,29.25,25626.06,185
Brill ICES 3a-4-7d,1973,0,28.35,25038.62,186
Brown rockfish Pacific Coast,1973,16697130,30.68,26572.66,187
Brown tiger shrimp Northern Australia,1973,28187490,29.41,25781.2,189
Cabezon Northern California,1973,29805450,29.68,25961.79,190
Cabezon Oregon Coast,1973,34954130,29.72,25930.99,191
Cabezon Southern California,1973,28208960,30.05,26136.91,192
California scorpionfish Southern California,1973,6523560,31.38,26996.8,193
Canary rockfish Pacific Coast,1973,13382730,30.21,26228.22,194
Canary rockfish West Coast of Vancouver Island and Strait of Georgia and Queen Charlotte Islands,1973,3063380,28.51,25104.57,195
Cape Hope squid South Africa,1973,24199320,28.9,25344.69,196
Cape horse mackerel South Africa South coast,1973,250,28.32,24980.74,197
Capelin Barents Sea,1973,0,28.03,24817.21,198
Capelin Gulf of St. Lawrence,1973,0,30.05,26124.95,199
Chilean herring Central-Southern Chile,1973,0,31.22,26905.61,203
Chilean jack mackerel Chilean EEZ and offshore,1973,0,28.51,25126.7,204
Chilipepper Southern Pacific Coast,1973,15212770,29.48,25816.2,206
China rockfish Central Pacific Coast,1973,24846150,28.64,25273.99,207
China rockfish Northern Pacific Coast,1973,23770490,29.68,25876.61,208
China rockfish Southern Pacific Coast,1973,15563910,29.07,25486.06,209
Chub mackerel Pacific Coast of Japan,1973,11970140,29.87,26010.96,210
Chub mackerel Tsushima Strait,1973,918420,29.24,25583.88,211
Chum salmon AK Pen Southeastern and South-central Districts,1973,0,27.73,24637.89,213
Chum salmon AK Pen Southwestern and Unimak Districts,1973,0,28.68,25304.7,214
Chum salmon Amur chum wild,1973,0,30.89,26698.85,216
Chum salmon Anadyr chum wild,1973,0,30.45,26381.6,217
Chum salmon Andreafsky River,1973,0,29.71,25914.58,218
Chum salmon Anvik River,1973,0,28.45,25134.89,219
Chum salmon Area 10,1973,0,29.24,25604.41,221
Chum salmon Area 6,1973,0,29.71,25967.21,244
Chum salmon Area 8,1973,0,30.07,26219.66,246
Chum salmon Area 9,1973,0,30.67,26568.4,247
Chum salmon Bear River,1973,0,30.95,26747.35,248
"Chum salmon Bechevin, Swanson (Northwestern District)",1973,0,29.48,25776.61,249
Chum salmon Big and Little Kamishak Rivers,1973,0,30.49,26430.43,250
Chum salmon Bruin River,1973,0,28.02,24828.54,251
Chum salmon CaribouFlats,1973,0,29.89,26044.5,252
Chum salmon Chignik Central District,1973,0,29.8,26005.89,253
Chum salmon Chignik Eastern District,1973,0,29.2,25593.58,254
Chum salmon Chignik Western District,1973,0,29.98,26095.64,255
Chum salmon Cinder River,1973,0,30.24,26246.52,256
Chum salmon Columbia R,1973,0,30.04,26138.03,257
Chum salmon Cottonwood Creek and Iniskin River,1973,0,28.39,25028.94,258
Chum salmon Dogfish Lagoon,1973,0,28.13,24875.82,259
Chum salmon East Alsek River,1973,0,28.79,25297.87,260
Chum salmon East Kamchatka chum wild,1973,0,30.86,26659.76,262
Chum salmon Fish Creek,1973,0,29.64,25815.67,264
Chum salmon Golovin,1973,0,31.27,26925.55,265
Chum salmon Goodnews River,1973,0,28.56,25162.17,266
Chum salmon Grays Harbour,1973,0,29.64,25844.34,267
Chum salmon Hood Canal,1973,0,29.8,25965.04,268
Chum salmon Inner South Coast (Fraser plus Mainland),1973,0,29.33,25691.44,269
"Chum salmon Izembek, Moffet (Northwestern District)",1973,0,28.38,25019.74,270
Chum salmon Japan High Seas catch chum hatchery,1973,0,28.9,25426.67,271
Chum salmon Japan High Seas catch chum wild,1973,0,29.97,26083.1,272
Chum salmon Japan coastal chum hatchery,1973,0,30.31,26270.57,273
Chum salmon Juan de Fuca Straits,1973,0,30.93,26711.15,274
Chum salmon Kadashan Creek,1973,0,30.01,26088.03,275
Chum salmon Kanektok River,1973,0,30.66,26570.89,276
Chum salmon Kotzebue Sound,1973,0,29.04,25466.19,277
Chum salmon Kuskokwim,1973,0,29.43,25719.19,278
Chum salmon Kwiniuk and Tubutulik Rivers (Norton Sound),1973,0,30.66,26569.27,279
Chum salmon McNeil River (and Sub-District),1973,0,28.86,25339.2,280
Chum salmon NelsonLagoon,1973,0,30.86,26676.93,281
Chum salmon Nooksack and Samish Rivers,1973,0,29.96,26072.26,282
Chum salmon Norton Bay,1973,0,28.81,25362.29,283
Chum salmon Norton Sound District 1,1973,0,31.19,26872.27,284
Chum salmon Nushagak District,1973,0,28.69,25233.06,285
Chum salmon Okhotsk chum wild,1973,0,28.49,25115.05,287
Chum salmon PMollerBt,1973,0,29.77,25972.06,288
Chum salmon Perryville District,1973,0,28.77,25303.11,289
Chum salmon Port Dick and Island Creek,1973,0,29.98,26137.12,290
Chum salmon Port Graham,1973,0,31.55,27116.18,291
Chum salmon PortHeiden,1973,0,29.01,25425.18,292
Chum salmon Primorye chum wild,1973,0,30.64,26514.0,294
Chum salmon Rocky River,1973,0,31.71,27207.23,295
Chum salmon Shaktoolik,1973,0,28.91,25388.36,296
Chum salmon Skagit River,1973,0,28.81,25385.16,297
Chum salmon South Sound Fall Run,1973,0,30.9,26701.97,298
Chum salmon South Sound Summer Run,1973,0,29.47,25744.45,299
Chum salmon South Sound Winter Run,1973,0,29.14,25494.18,300
Chum salmon Stillaguamish and Snohomish Rivers,1973,0,28.59,25142.19,301
Chum salmon ThreeHills,1973,0,29.42,25727.59,302
Chum salmon Unalakleet,1973,0,30.49,26453.9,304
Chum salmon Upper Cook Inlet,1973,0,29.27,25602.76,305
Chum salmon Ursus Cove and Lagoon,1973,0,29.58,25928.27,306
Chum salmon West Kamchatka chum wild,1973,0,28.92,25393.96,308
Chum salmon Willapa Bay,1973,0,29.27,25600.88,309
Chum salmon Yukon River Fall Run,1973,0,28.57,25170.89,310
Chum salmon Yukon River Summer Run,1973,0,30.66,26571.8,311
Cobia Gulf of Mexico,1973,17288140,28.12,24859.5,314
Cobia Southern Atlantic coast,1973,31664940,29.16,25513.57,315
Common gemfish New Zealand,1973,53964830,28.26,24943.95,316
Common gemfish Southeast Australia,1973,15371030,29.1,25542.13,317
Common sole Celtic Sea,1973,206250,29.3,25610.04,320
Common sole ICES 7bc,1973,0,28.81,25276.39,324
Common sole Irish Sea,1973,14628570,28.09,24871.82,328
Common sole North Sea,1973,13485710,30.68,26477.51,329
Common sole Western English Channel,1973,9837230,28.38,25037.46,331
Copper rockfish Pacific Coast,1973,17915420,30.23,26240.33,332
Cowcod Southern California,1973,1461290,30.16,26201.94,333
Cusk Western Scotian Shelf,1973,18883290,28.42,25089.09,343
Dab Baltic Areas 22-32,1973,0,28.87,25379.11,345
Dab ICES 3a-4,1973,0,30.26,26290.59,346
Darkblotched rockfish Pacific Coast,1973,17031250,27.8,24716.54,347
Deep water cape hake South Africa,1973,8287290,29.18,25548.99,350
Deepwater redfish NAFO Divisions 2J3K-3LNO,1973,0,27.22,24330.0,360
Deepwater redfish Units 1 and 2,1973,0,28.27,24965.96,362
Dover sole Pacific Coast,1973,3776290,28.14,24899.53,364
Dredge oyster Foveax Strait,1973,1620,30.03,26118.47,365
Dusky rockfish Gulf of Alaska,1973,0,27.83,24746.11,366
Dusky shark Gulf of Mexico and Atlantic,1973,0,27.18,24297.78,367
English sole Hecate Strait,1973,0,29.57,25853.79,368
English sole Pacific Coast,1973,25743180,30.42,26379.64,369
Eulachon Pacific Coast of Canada Central Coast Designatable Unit,1973,0,30.02,26125.75,370
Eulachon Pacific Coast of Canada Fraser River Designatable Unit,1973,0,28.9,25354.07,371
Eulachon Pacific Coast of Canada Nass / Skeena Designatable Unit,1973,0,30.56,26490.82,372
European flounder ICES 3a-4,1973,0,29.81,25995.3,373
European flounder Subdivisions 22-23,1973,0,28.7,25289.4,374
European flounder Subdivisions 24-25,1973,0,29.37,25708.21,375
European plaice ICES 7bc,1973,0,29.77,25969.24,385
European plaice North Sea,1973,5348930,27.17,24300.49,389
Gag Gulf of Mexico,1973,2282460,27.59,24545.67,407
Gag Southern Atlantic coast,1973,23584650,29.25,25605.71,408
Giant stargazer NZ Area STA7,1973,3520,29.72,25924.71,416
Golden redfish ICES 5-6-12-14,1973,17181820,28.82,25341.6,418
Goliath grouper Southern Atlantic coast and Gulf of Mexico,1973,0,29.73,25959.64,420
Gopher rockfish Southern Pacific Coast,1973,17425740,29.2,25645.29,421
Gray triggerfish Gulf of Mexico,1973,20180180,27.74,24686.89,422
Greater amberjack Gulf of Mexico,1973,16599510,28.97,25441.46,423
Greater amberjack Southern Atlantic coast,1973,27731960,31.13,26821.56,424
Greater silver smelt ICES 6b-7-8-9-10-12,1973,0,29.88,26037.87,430
Greenland halibut Bering Sea and Aleutian Islands,1973,41718820,28.75,25255.31,432
Greenland halibut Gulf of St. Lawrence,1973,0,27.43,24447.14,433
Greenland halibut ICES 5-6-12-14,1973,1750,30.15,26210.96,434
Greenland halibut Labrador Shelf - Grand Banks,1973,0,27.82,24691.27,435
Greenland halibut North-East Arctic,1973,0,27.95,24776.5,437
Greenspotted rockfish Northern Pacific Coast,1973,29029850,31.1,26827.13,438
Greenspotted rockfish Southern Pacific Coast,1973,29777780,28.17,24900.85,439
Greenstriped rockfish Pacific Coast,1973,31093670,27.86,24736.31,440
Grooved tiger prawn Northern Australia,1973,27388730,29.86,26025.92,444
Gulf menhaden Gulf of Mexico,1973,0,28.88,25399.37,445
Haddock Faroe Plateau,1973,18517710,27.31,24377.4,446
Haddock Georges Bank,1973,1468140,30.03,26172.32,447
Haddock Grand Banks,1973,0,31.79,27246.08,448
Haddock Gulf of Maine,1973,0,30.87,26661.69,449
Haddock ICES 3a-4-6a,1973,20833330,27.29,24379.72,450
Haddock North-East Arctic,1973,15750,30.55,26495.67,454
"Haddock Western Scotian Shelf, Bay of Fundy and Gulf of Maine",1973,7884620,28.87,25369.51,456
Herring ICES 3a-4-7d,1973,2114290,28.78,25316.2,470
Herring ICES 5a-7bc,1973,18658540,30.52,26486.13,471
Herring ICES 7a-g-h-j,1973,11098360,30.48,26413.31,472
Herring NAFO division 4R (Fall spawners),1973,0,28.91,25364.17,475
Herring NAFO division 4R (Spring spawners),1973,0,29.61,25827.63,476
Herring Newfoundland East and South Coast,1973,0,28.85,25339.32,477
Herring Northwestern Atlantic Coast,1973,14109180,31.1,26832.13,478
Herring Scotian Shelf and Bay of Fundy,1973,0,30.22,26277.76,480
Herring Subdivisions 25-29 and 32,1973,0,27.9,24771.89,483
Herring West of Scotland,1973,5160,29.67,25951.13,485
Hoki Eastern New Zealand,1973,23392870,28.17,24927.39,486
Hoki Western New Zealand,1973,23371550,28.84,25354.82,487
Indo Pacific blue marlin Indian Ocean,1973,1790,30.13,26248.52,493
Jackass morwong Eastern half of Southeast Australia,1973,44973130,29.38,25746.08,494
Japanese amberjack Japan,1973,0,29.71,25937.43,498
Japanese anchovy Inland Sea of Japan,1973,0,30.57,26471.42,499
Japanese flounder Inland Sea of Japan,1973,0,28.77,25286.23,503
Japanese flounder Pacific Ocean,1973,0,27.89,24740.47,504
Japanese flounder Sea of Japan North,1973,0,30.65,26554.97,505
Japanese jack mackerel Tsushima Strait,1973,4656640,27.64,24591.08,509
Japanese sardine Tsushima Strait,1973,15894340,28.49,25138.89,513
Kelp greenling Oregon Coast,1973,23110830,28.07,24886.27,516
King mackerel Gulf of Mexico,1973,20910120,28.4,25036.74,520
King mackerel Southern Atlantic coast,1973,35135140,28.92,25407.88,521
Lemon sole ICES 3a-4-7d,1973,0,28.15,24890.09,528
Ling New Zealand Areas LIN 3 and 4,1973,24933060,28.72,25243.05,535
Ling New Zealand Areas LIN 5 and 6,1973,24974940,28.84,25382.38,536
Ling New Zealand Areas LIN 72,1973,24797250,28.81,25312.69,538
Ling New Zealand Areas LIN 7WC-WCSI,1973,24978850,30.05,26084.02,539
Ling Southeast Australia,1973,20845370,28.98,25472.2,542
Ling Western half of Southeast Australia,1973,20843430,29.25,25671.88,543
Lingcod Northern Pacific Coast,1973,2380,29.45,25796.36,544
Lingcod Southern Pacific Coast,1973,19296450,30.34,26334.59,545
Lingcod Strait of Georgia,1973,3163460,31.28,26914.81,546
Little skate Gulf of Maine / Cape Hatteras,1973,0,28.93,25350.22,547
Longfin inshore squid Atlantic Coast,1973,0,31.34,26988.02,549
Longnose skate Hecate Strait,1973,0,30.71,26563.78,550
Longnose skate Pacific Coast,1973,22239150,29.75,25939.5,551
Longnose skate Queen Charlotte Sound,1973,0,28.97,25409.17,552
Longnose skate West Coast of Vancouver Island,1973,0,29.98,26096.91,554
Longspine thornyhead Pacific Coast,1973,25041520,30.11,26219.37,555
Mackerel Northwest Atlantic (NAFO Subareas 3 and 4),1973,0,31.21,26872.85,557
Monkfish NAFO Divisions 3LNOPs,1973,0,31.16,26850.38,564
New Zealand snapper New Zealand Area 8 (Auckland and Central West),1973,21626340,27.76,24654.02,567
New Zealand snapper New Zealand SNA 1 Bay of Plenty and Hauraki Gulf,1973,7103250,28.83,25321.35,568
New Zealand snapper New Zealand SNA 1 east Northland,1973,11550580,29.6,25806.86,569
New Zealand snapper New Zealand SNA 7,1973,11744210,29.1,25507.57,570
Northern rockfish Gulf of Alaska,1973,6167040,29.97,26105.71,574
Northern shortfin squid Northwestern Atlantic Coast,1973,0,30.6,26470.67,575
Northern shrimp Gulf of Maine,1973,0,28.16,24883.15,577
Northern shrimp Gulf of St. Lawrence,1973,0,28.06,24844.38,578
Northern shrimp ICES 3a(west)-4a(east),1973,0,29.17,25602.13,579
Northern shrimp North-East Arctic,1973,1810,28.53,25238.88,580
Northern shrimp Northern North Sea,1973,0,31.31,26930.28,581
"Norway lobster Adriatic Sea (GSA 17,18)",1973,1523210,29.98,26137.88,586
Norway lobster Irish Sea West (FU 15),1973,0,29.29,25612.89,600
Norway lobster Skagerak Kattegat (FU 3-4),1973,0,27.85,24720.21,615
Norway pout West of Scotland,1973,0,29.54,25806.97,623
Nylon shrimp Central-Southern Chile,1973,13882150,29.13,25523.63,624
Nylon shrimp Northern Chile,1973,29542240,29.43,25781.74,625
Ocean pout Northwestern Atlantic Coast,1973,0,30.32,26302.91,626
Orange roughy East and South Chatham Rise,1973,29464290,29.75,25958.41,637
Orange roughy New Zealand Challenger Plateau,1973,31818180,30.29,26294.26,638
Orange roughy New Zealand Mid East Coast,1973,35488720,31.04,26766.71,639
Orange roughy Northwest Chatham Rise,1973,28658010,29.65,25862.19,641
Pacific bluefin tuna Pacific Ocean,1973,2270,28.44,25085.77,643
Pacific chub mackerel Pacific Coast,1973,3857560,30.01,26060.15,644
Pacific cod Hecate Strait,1973,16097210,29.46,25763.75,648
Pacific cod Queen Charlotte Sound,1973,0,28.49,25110.38,651
Pacific cod Sea of Japan,1973,0,28.62,25205.61,652
Pacific cod West Coast of Vancouver Island,1973,20056460,29.44,25784.27,653
Pacific hake Pacific Coast,1973,16371220,27.52,24510.99,655
Pacific halibut North Pacific,1973,0,28.15,24905.73,656
Pacific herring Central Coast,1973,0,29.28,25675.01,657
Pacific herring Prince Rupert District,1973,0,29.33,25682.06,659
Pacific herring Queen Charlotte Islands,1973,0,28.53,25110.81,661
Pacific herring Strait of Georgia,1973,0,28.59,25194.57,663
Pacific herring West Coast of Vancouver Island,1973,0,30.79,26642.52,665
Pacific ocean perch Eastern Bering Sea and Aleutian Islands,1973,10199050,29.69,25928.62,666
Pacific ocean perch Gulf of Alaska,1973,8090920,30.66,26471.86,667
Pacific ocean perch Haida Gwaii,1973,24917850,30.4,26335.02,668
Pacific ocean perch Pacific Coast,1973,8046880,29.12,25540.8,669
Pacific ocean perch West Coast of Vancouver Island,1973,9123770,30.41,26383.59,670
Patagonian toothfish South Africa Subantarctic Prince Edward Islands,1973,0,29.92,26112.83,679
Paua NZ Area North PAUA 5A,1973,23607750,27.9,24724.77,681
Paua NZ Area South PAUA 5A,1973,23171610,28.71,25281.06,682
Paua New Zealand Area PAU 5B (Stewart Island),1973,24212720,28.78,25283.7,683
Paua New Zealand Area PAU 5D (Otago),1973,23194750,28.85,25381.99,684
Paua New Zealand Area PAU 7 (Marlborough),1973,2208110,30.56,26437.16,685
Peruvian anchoveta North-Central Peruvian coast,1973,4954950,28.22,24936.04,688
Petrale sole Pacific Coast,1973,9379850,29.32,25696.49,690
Pink salmon AK Pen Northwestern District,1973,0,29.73,25936.96,695
Pink salmon AK Pen Southeastern and South-central Districts,1973,0,28.56,25136.5,696
Pink salmon AK Pen Southwestern and Unimak Districts,1973,0,31.14,26864.91,697
Pink salmon Affleck Cl (District105),1973,0,30.24,26277.11,698
Pink salmon Amakdedori Creek (Kamishak D),1973,0,30.81,26630.25,702
Pink salmon Amur pink wild,1973,0,28.78,25279.99,703
Pink salmon Anadyr pink wild,1973,0,29.39,25688.58,704
Pink salmon Anan (District107),1973,0,28.67,25241.37,705
Pink salmon Area 10,1973,0,28.16,24902.16,707
Pink salmon Area 12,1973,0,29.94,26089.86,708
Pink salmon Area 13,1973,0,29.42,25751.9,709
Pink salmon Area 2E,1973,0,30.79,26641.09,710
Pink salmon Area 6,1973,0,30.59,26512.99,715
Pink salmon Area 8,1973,0,29.56,25772.4,717
Pink salmon Area 9,1973,0,29.69,25928.52,718
Pink salmon Auke Creek (Northern Inside),1973,0,28.03,24837.12,721
Pink salmon Barabara (Southern D),1973,0,28.82,25308.6,722
Pink salmon Baranof E (District109),1973,0,30.25,26282.69,723
Pink salmon BetwLoandBte (Area 13),1973,0,27.91,24748.45,724
Pink salmon Big Kamishak River  (Kamishak D),1973,0,30.45,26390.96,725
Pink salmon BondSound (Area 12),1973,0,29.67,25906.32,726
Pink salmon Bruin River,1973,0,31.14,26830.95,727
Pink salmon Burnett (District106),1973,0,30.46,26455.97,728
Pink salmon Burrard,1973,0,30.64,26565.86,729
Pink salmon Bute Inlt (Area 13),1973,0,28.44,25078.47,730
Pink salmon Ch/Vedder,1973,0,29.48,25727.2,731
Pink salmon Chignik Bay District,1973,0,29.21,25618.14,732
Pink salmon Chignik Central District,1973,0,29.08,25492.01,733
Pink salmon Chignik Eastern District,1973,0,29.82,26038.4,734
Pink salmon Chignik Western District,1973,0,30.47,26404.48,735
Pink salmon China Poot (Southern D),1973,0,28.87,25389.69,736
Pink salmon Coghill District,1973,0,29.45,25730.12,737
Pink salmon Dogfish (Southern D),1973,0,29.41,25705.16,738
Pink salmon Dosewallips (Hood Canal),1973,0,28.53,25198.45,739
Pink salmon Duckabush (Hood Canal),1973,0,29.49,25769.74,740
Pink salmon Dungeness (Juan de Fuca),1973,0,28.23,24954.7,741
Pink salmon EBehm (District 101),1973,0,30.54,26462.38,742
Pink salmon EDall (District103),1973,0,28.55,25179.39,743
Pink salmon East Kamchatka pink wild,1973,0,30.12,26220.01,744
Pink salmon East Sakhalin pink hatchery,1973,0,30.22,26229.94,745
Pink salmon East Sakhalin pink wild,1973,0,30.11,26155.62,746
Pink salmon Eliza Hbr (District109),1973,0,30.26,26323.28,748
Pink salmon Farragut (District110),1973,0,31.43,27015.74,750
Pink salmon Freshw By (District112),1973,0,27.96,24843.37,751
Pink salmon GeorgiaHowe (Area 16),1973,0,29.62,25861.03,752
Pink salmon Golovin,1973,0,27.81,24699.9,753
Pink salmon Hamma Hamma (Hood Canal),1973,0,29.45,25739.12,754
Pink salmon Harrison,1973,0,30.69,26591.24,755
Pink salmon Hetta (District103),1973,0,29.7,25956.45,756
Pink salmon Homeshor (District114),1973,0,29.85,26047.86,757
Pink salmon Hoonah S (District113),1973,0,27.88,24730.26,760
Pink salmon Houghton (District110),1973,0,30.71,26588.02,761
Pink salmon Humpy Creek (Cook Inlet Southern D),1973,0,29.96,26062.92,762
Pink salmon Humpy Creek (Yakutat),1973,0,31.67,27169.5,763
Pink salmon Japan High Seas catch pink hatchery,1973,0,30.7,26589.65,766
Pink salmon Japan High Seas catch pink wild,1973,0,30.97,26757.5,767
Pink salmon Japan coastal pink hatchery,1973,0,28.83,25302.07,768
Pink salmon Japan coastal pink wild,1973,0,30.43,26419.75,769
Pink salmon Jervis Inlet (Area 16),1973,0,29.79,26006.61,770
Pink salmon JohnstoneSt (Area 12),1973,0,31.04,26749.5,772
Pink salmon Kasaan (District102),1973,0,30.35,26358.98,773
Pink salmon Kelp By (District112),1973,0,29.03,25465.3,774
Pink salmon KingcomeInlet (Area 12),1973,0,28.24,24997.82,775
Pink salmon Klawock (District103),1973,0,30.38,26393.9,776
Pink salmon KnightInlet (Area 12),1973,0,29.78,25913.33,777
Pink salmon Kuskokwim,1973,0,29.36,25677.25,780
Pink salmon Lisianski (District113),1973,0,27.98,24773.07,781
Pink salmon Loughb It (Area 13),1973,0,31.08,26796.84,783
Pink salmon Lynn Cnl (District112),1973,0,29.85,26077.23,784
Pink salmon Lynn Cnl (District115),1973,0,28.03,24818.15,785
Pink salmon Main Fraser,1973,0,31.31,26918.29,786
Pink salmon Moira (District102),1973,0,28.89,25383.64,788
Pink salmon Montague District,1973,0,30.64,26551.25,789
Pink salmon Moses Point and Norton Bay (Norton Sound),1973,0,28.59,25138.05,790
Pink salmon Nchichago (District114),1973,0,31.43,27034.72,791
Pink salmon NearKingcome (Area 12),1973,0,29.91,26103.68,792
Pink salmon Nisqually (Puget Sound),1973,0,29.37,25685.4,793
Pink salmon Nome (Norton Sound),1973,0,29.88,25983.25,794
Pink salmon Nooksack (Puget Sound),1973,0,29.49,25798.77,795
Pink salmon Northern/Unakwik District,1973,0,29.32,25676.25,796
Pink salmon Okhotsk pink hatchery,1973,0,28.24,24942.49,798
Pink salmon Okhotsk pink wild,1973,0,31.01,26769.14,799
Pink salmon PWS Eastern District,1973,0,29.6,25899.01,800
Pink salmon PWS Northwestern District,1973,0,27.59,24619.33,801
Pink salmon PWS Southeastern District,1973,0,29.93,26068.82,802
Pink salmon PWS Southwest District,1973,0,31.13,26834.49,803
Pink salmon Perryville District,1973,0,29.98,26117.85,804
Pink salmon Port Chatham (Outer D),1973,0,29.38,25723.76,805
Pink salmon Port Dick (Outer D),1973,0,29.77,25973.58,806
Pink salmon Port Graham (Southern D),1973,0,30.1,26136.15,807
Pink salmon Portage B (District110),1973,0,28.51,25147.05,808
Pink salmon Portland (District 101),1973,0,29.23,25588.41,809
Pink salmon Portlock (District113),1973,0,29.4,25758.97,810
Pink salmon Primorye pink wild,1973,0,29.31,25694.49,811
Pink salmon Puyallup (Puget Sound),1973,0,30.29,26283.7,812
Pink salmon Pybus/Ga (District110),1973,0,31.03,26755.06,813
Pink salmon Quatam R (Area 13),1973,0,31.14,26853.18,814
Pink salmon Ratz Hbr (District106),1973,0,29.31,25727.01,815
Pink salmon Rocky River (Outer D),1973,0,28.02,24816.43,817
Pink salmon SE Baran (District109),1973,0,29.56,25820.52,818
Pink salmon SWAdmir (District112),1973,0,28.16,24892.99,819
Pink salmon Saginw By (District109),1973,0,28.65,25283.16,820
Pink salmon Salisbury (District113),1973,0,28.64,25253.9,821
Pink salmon Sashin Creek (Northern Inside),1973,0,28.58,25197.53,822
Pink salmon SeaOtter (District103),1973,0,30.59,26515.13,823
Pink salmon Sechelt It  (Area 16),1973,0,28.53,25202.47,824
Pink salmon Seldovia Bay  (Southern D),1973,0,29.31,25641.9,825
Pink salmon SetonArea,1973,0,29.58,25840.81,826
Pink salmon Seymour (District111),1973,0,27.79,24681.17,827
Pink salmon Shaktoolik (Norton Sound),1973,0,30.97,26757.83,828
Pink salmon Shipley (District105),1973,0,27.67,24613.98,829
Pink salmon Sitka Sd (District113),1973,0,30.22,26267.4,830
Pink salmon Situk River,1973,0,27.19,24306.1,831
Pink salmon Skagit (Puget Sound),1973,0,27.27,24354.17,832
Pink salmon Slocum (District113),1973,0,29.59,25860.22,835
Pink salmon Snohomish (Puget Sound),1973,0,29.48,25796.84,837
Pink salmon South AK Peninsula w/o Chignik,1973,0,29.2,25573.71,838
Pink salmon Squamish,1973,0,30.35,26350.99,839
Pink salmon Stephens (District111),1973,0,29.31,25592.36,840
Pink salmon Stikine (District108),1973,0,28.08,24848.67,841
Pink salmon Stillaguamish (Puget Sound),1973,0,27.82,24776.45,842
