country,year,biomass_relative_to,SST,Trawling_Hours
Gray triggerfish Gulf of Mexico,1966,2.198.198,29.31,24873.82
Greater amberjack Gulf of Mexico,1966,1.914.996,29.33,24900.49
Greater amberjack Southern Atlantic coast,1966,2.938.144,30.14,25474.52
Greater silver smelt ICES 6b-7-8-9-10-12,1966,0,30.0,25355.8
Greenland halibut Bering Sea and Aleutian Islands,1966,1.622.642,27.89,23978.44
Greenland halibut ICES 5-6-12-14,1966,1.96,29.99,25357.59
Greenland halibut Labrador Shelf - Grand Banks,1966,0,27.5,23740.43
Greenland halibut North-East Arctic,1966,0,28.14,24138.74
Greenspotted rockfish Northern Pacific Coast,1966,3.119.403,31.09,26063.66
Greenspotted rockfish Southern Pacific Coast,1966,3.688.889,28.47,24327.13
Greenstriped rockfish Pacific Coast,1966,3.241.785,28.72,24498.22
Gulf menhaden Gulf of Mexico,1966,0,29.25,24860.46
Haddock Faroe Plateau,1966,183.426,27.98,24018.66
Haddock Georges Bank,1966,1.726.685,29.75,25250.8
Haddock Grand Banks,1966,0,30.53,25730.48
Haddock Gulf of Maine,1966,0,30.22,25512.76
Haddock North-East Arctic,1966,1.675,29.95,25374.86
Herring ICES 3a-4-7d,1966,1.164.286,27.9,24030.48
Herring ICES 5a-7bc,1966,1.758.537,31.27,26183.95
Herring ICES 7a-g-h-j,1966,2.901.639,29.99,25364.44
Herring NAFO division 4R (Spring spawners),1966,0,29.05,24735.92
Herring Newfoundland East and South Coast,1966,0,28.82,24566.98
Herring Northwestern Atlantic Coast,1966,2.137.267,30.16,25514.88
Herring Scotian Shelf and Bay of Fundy,1966,0,30.05,25420.06
Herring West of Scotland,1966,5.786.667,31.08,26043.18
Indo Pacific blue marlin Indian Ocean,1966,1.81,30.39,25646.86
Jackass morwong Eastern half of Southeast Australia,1966,5.035.182,29.67,25165.29
Japanese amberjack Japan,1966,0,29.42,25010.1
Japanese anchovy Inland Sea of Japan,1966,0,29.63,25149.93
Japanese flounder Inland Sea of Japan,1966,0,29.01,24677.57
Japanese sardine Tsushima Strait,1966,354.755,27.54,23814.95
Kelp greenling Oregon Coast,1966,2.342.569,28.53,24406.32
King mackerel Gulf of Mexico,1966,2.424.597,28.15,24135.71
King mackerel Southern Atlantic coast,1966,3.813.161,29.77,25161.76
Lingcod Northern Pacific Coast,1966,1.99,29.37,24993.15
Lingcod Southern Pacific Coast,1966,2.578.552,29.35,24986.31
Lingcod Strait of Georgia,1966,418.394,29.84,25292.89
Longfin inshore squid Atlantic Coast,1966,0,31.13,26105.06
Longnose skate Hecate Strait,1966,0,30.19,25497.57
Longnose skate Pacific Coast,1966,2.231.531,28.66,24527.35
Longnose skate Queen Charlotte Sound,1966,0,28.52,24381.51
Longnose skate West Coast of Vancouver Island,1966,0,30.46,25631.21
Longspine thornyhead Pacific Coast,1966,2.868.276,30.5,25698.64
Monkfish NAFO Divisions 3LNOPs,1966,0,30.44,25659.12
New Zealand snapper New Zealand Area 8 (Auckland and Central West),1966,3.416.027,28.12,24114.54
New Zealand snapper New Zealand SNA 1 Bay of Plenty and Hauraki Gulf,1966,1.192.039,28.58,24411.16
New Zealand snapper New Zealand SNA 1 east Northland,1966,1.585.579,28.1,24148.35
New Zealand snapper New Zealand SNA 7,1966,1.585.791,28.64,24472.39
Northern rockfish Gulf of Alaska,1966,972.024,29.84,25273.39
Northern shrimp Gulf of Maine,1966,0,27.65,23821.5
Northern shrimp Gulf of St. Lawrence,1966,0,28.57,24398.58
"Norway lobster Adriatic Sea (GSA 17,18)",1966,1.809.599,29.95,25358.74
Norway lobster Irish Sea West (FU 15),1966,0,28.49,24375.72
Norway lobster Skagerak Kattegat (FU 3-4),1966,0,27.54,23778.28
Nylon shrimp Central-Southern Chile,1966,1.722.975,28.95,24662.21
Nylon shrimp Northern Chile,1966,1.662.857,30.38,25596.05
Orange roughy East and South Chatham Rise,1966,2.883.929,29.53,25069.58
Orange roughy New Zealand Challenger Plateau,1966,3.081.169,30.28,25530.68
Orange roughy New Zealand Mid East Coast,1966,3.609.023,30.1,25446.26
Orange roughy Northwest Chatham Rise,1966,0,27.88,24042.07
Pacific bluefin tuna Pacific Ocean,1966,574,28.33,24258.77
Pacific chub mackerel Pacific Coast,1966,107.881,28.81,24584.26
Pacific cod Hecate Strait,1966,1.781.078,29.4,24968.04
Pacific cod Queen Charlotte Sound,1966,0,28.43,24318.4
Pacific cod Sea of Japan,1966,0,28.22,24209.52
Pacific cod West Coast of Vancouver Island,1966,1.961.076,30.64,25753.34
Pacific hake Pacific Coast,1966,1.209.593,28.01,24051.88
Pacific halibut North Pacific,1966,0,28.19,24172.09
Pacific herring Central Coast,1966,0,30.02,25362.49
Pacific herring Prince Rupert District,1966,0,29.34,24930.92
Pacific herring Queen Charlotte Islands,1966,0,29.26,24792.71
Pacific herring Strait of Georgia,1966,0,28.55,24414.32
Pacific herring West Coast of Vancouver Island,1966,0,30.72,25842.08
Pacific ocean perch Eastern Bering Sea and Aleutian Islands,1966,2.066.827,29.43,25015.65
Pacific ocean perch Gulf of Alaska,1966,1.532.068,29.68,25129.51
Pacific ocean perch Haida Gwaii,1966,496.988,29.66,25135.17
Pacific ocean perch Pacific Coast,1966,1.761.719,28.93,24673.39
Pacific ocean perch West Coast of Vancouver Island,1966,2.478.912,29.7,25200.2
Patagonian toothfish South Africa Subantarctic Prince Edward Islands,1966,0,29.8,25282.12
Paua NZ Area North PAUA 5A,1966,2.502.018,28.07,24074.7
Paua NZ Area South PAUA 5A,1966,249.819,28.18,24205.11
Paua New Zealand Area PAU 5B (Stewart Island),1966,2.673.797,28.93,24613.38
Paua New Zealand Area PAU 5D (Otago),1966,2.483.589,28.54,24442.23
Paua New Zealand Area PAU 7 (Marlborough),1966,2.481.939,29.5,25046.32
Peruvian anchoveta North-Central Peruvian coast,1966,2.102.102,27.67,23851.21
Petrale sole Pacific Coast,1966,825.666,29.63,25127.12
Pink salmon AK Pen Northwestern District,1966,0,29.58,25095.26
Pink salmon AK Pen Southeastern and South-central Districts,1966,0,28.28,24208.91
Pink salmon AK Pen Southwestern and Unimak Districts,1966,0,29.98,25410.91
Pink salmon Affleck Cl (District105),1966,0,29.64,25161.03
Pink salmon Aialik Lagoon (Eastern D),1966,0,31.26,26183.59
Pink salmon Amakdedori Creek (Kamishak D),1966,0,30.56,25724.53
Pink salmon Amur pink wild,1966,0,26.98,23445.2
Pink salmon Anadyr pink wild,1966,0,29.03,24715.3
Pink salmon Anan (District107),1966,0,28.15,24174.33
Pink salmon Area 10,1966,0,27.86,23969.4
Pink salmon Area 12,1966,0,29.79,25243.86
Pink salmon Area 13,1966,0,30.31,25527.34
Pink salmon Area 2E,1966,0,30.07,25456.58
Pink salmon Area 6,1966,0,29.75,25253.51
Pink salmon Area 8,1966,0,28.82,24570.98
Pink salmon Area 9,1966,0,29.79,25231.56
Pink salmon Area21-27,1966,0,28.68,24452.8
Pink salmon Barabara (Southern D),1966,0,28.18,24169.03
Pink salmon Baranof E (District109),1966,0,30.68,25784.47
Pink salmon BetwLoandBte (Area 13),1966,0,28.12,24119.23
Pink salmon Big Kamishak River  (Kamishak D),1966,0,30.18,25475.06
Pink salmon BondSound (Area 12),1966,0,30.48,25637.2
Pink salmon Bruin River,1966,0,30.16,25483.5
Pink salmon Burnett (District106),1966,0,31.31,26214.41
Pink salmon Burrard,1966,0,30.48,25716.03
Pink salmon Bute Inlt (Area 13),1966,0,28.35,24268.43
Pink salmon Chignik Bay District,1966,0,28.71,24558.79
Pink salmon Chignik Central District,1966,0,28.5,24387.76
Pink salmon Chignik Eastern District,1966,0,29.73,25230.18
Pink salmon Chignik Western District,1966,0,30.48,25655.69
Pink salmon China Poot (Southern D),1966,0,29.93,25266.87
Pink salmon Coghill District,1966,0,28.82,24598.08
Pink salmon Dogfish (Southern D),1966,0,28.55,24432.12
Pink salmon EBehm (District 101),1966,0,29.49,25078.64
Pink salmon EDall (District103),1966,0,28.97,24680.97
Pink salmon East Kamchatka pink wild,1966,0,29.97,25373.76
Pink salmon East Sakhalin pink hatchery,1966,0,29.21,24865.79
Pink salmon East Sakhalin pink wild,1966,0,30.22,25468.18
Pink salmon Eliza Hbr (District109),1966,0,30.46,25692.6
Pink salmon Eshamy District,1966,0,29.43,24970.94
Pink salmon Farragut (District110),1966,0,30.42,25652.71
Pink salmon Freshw By (District112),1966,0,28.43,24371.43
Pink salmon Golovin,1966,0,27.39,23691.77
Pink salmon Hetta (District103),1966,0,30.32,25568.0
Pink salmon Homeshor (District114),1966,0,30.94,25940.32
Pink salmon Hoonah S (District113),1966,0,28.29,24220.74
Pink salmon Houghton (District110),1966,0,30.84,25912.33
Pink salmon Humpy Creek (Cook Inlet Southern D),1966,0,28.88,24659.09
Pink salmon Japan High Seas catch pink hatchery,1966,0,31.15,26105.39
Pink salmon Japan High Seas catch pink wild,1966,0,31.18,26128.61
Pink salmon Japan coastal pink hatchery,1966,0,27.75,23897.35
Pink salmon Japan coastal pink wild,1966,0,30.78,25878.05
Pink salmon Jervis Inlet (Area 16),1966,0,29.16,24871.61
Pink salmon Johnst St (Area 13),1966,0,30.27,25531.21
Pink salmon JohnstoneSt (Area 12),1966,0,29.64,25153.24
Pink salmon Kasaan (District102),1966,0,29.69,25204.78
Pink salmon Kelp By (District112),1966,0,28.98,24680.89
Pink salmon KingcomeInlet (Area 12),1966,0,28.01,24107.46
Pink salmon Klawock (District103),1966,0,30.68,25813.77
Pink salmon KnightInlet (Area 12),1966,0,28.13,24167.5
Pink salmon Kuskokwim,1966,0,28.31,24294.52
Pink salmon Lisianski (District113),1966,0,27.88,23959.63
Pink salmon Little Kamishak River (Kamishak D),1966,0,30.58,25767.83
Pink salmon Loughb It (Area 13),1966,0,30.98,25975.76
Pink salmon Lynn Cnl (District112),1966,0,29.89,25345.32
Pink salmon Lynn Cnl (District115),1966,0,28.78,24515.09
Pink salmon Moira (District102),1966,0,28.21,24217.33
Pink salmon Montague District,1966,0,30.99,26004.15
Pink salmon Moses Point and Norton Bay (Norton Sound),1966,0,28.41,24276.14
Pink salmon Nchichago (District114),1966,0,30.83,25916.56
Pink salmon NearKingcome (Area 12),1966,0,30.03,25416.86
Pink salmon Nome (Norton Sound),1966,0,28.1,24159.62
Pink salmon Northern/Unakwik District,1966,0,28.39,24362.45
Pink salmon Nushagak River,1966,0,31.6,26376.9
Pink salmon Okhotsk pink wild,1966,0,30.37,25631.78
Pink salmon PWS Eastern District,1966,0,29.62,25155.91
Pink salmon PWS Northwestern District,1966,0,28.44,24370.14
Pink salmon PWS Southeastern District,1966,0,29.77,25214.53
Pink salmon PWS Southwest District,1966,0,30.21,25526.27
Pink salmon Perryville District,1966,0,29.04,24795.65
Pink salmon Port Chatham (Outer D),1966,0,29.97,25326.24
Pink salmon Port Dick (Outer D),1966,0,29.88,25284.17
Pink salmon Port Graham (Southern D),1966,0,30.09,25368.86
Pink salmon Portage B (District110),1966,0,29.27,24848.66
Pink salmon Portland (District 101),1966,0,27.26,23647.88
Pink salmon Portlock (District113),1966,0,30.55,25690.13
Pink salmon Primorye pink wild,1966,0,30.32,25548.45
Pink salmon Pybus/Ga (District110),1966,0,29.71,25203.84
Pink salmon Ratz Hbr (District106),1966,0,29.98,25373.39
Pink salmon Resurrection Bay (Eastern D),1966,0,30.39,25622.75
Pink salmon Rocky River (Outer D),1966,0,27.59,23798.15
Pink salmon SE Baran (District109),1966,0,29.18,24836.02
Pink salmon SWAdmir (District112),1966,0,28.49,24335.13
Pink salmon Saginw By (District109),1966,0,29.73,25174.38
Pink salmon Salisbury (District113),1966,0,28.81,24603.03
Pink salmon Sashin Creek (Northern Inside),1966,0,29.35,24904.89
Pink salmon SeaOtter (District103),1966,0,30.63,25786.28
Pink salmon Seldovia Bay  (Southern D),1966,0,29.01,24702.44
Pink salmon Seymour (District111),1966,0,27.91,23999.65
Pink salmon Shaktoolik (Norton Sound),1966,0,30.73,25857.8
Pink salmon Shipley (District105),1966,0,27.86,23973.76
Pink salmon Sitka Sd (District113),1966,0,29.13,24860.86
Pink salmon Situk River,1966,0,27.81,23922.38
Pink salmon Slocum (District113),1966,0,29.61,25119.79
Pink salmon South AK Peninsula w/o Chignik,1966,0,28.94,24659.61
Pink salmon Stephens (District111),1966,0,28.73,24485.89
Pink salmon Stikine (District108),1966,0,27.75,23892.53
Pink salmon SundChnl (Area 13),1966,0,27.79,23913.04
Pink salmon Sunday and Browns Peak Creek (Kamishak D),1966,0,30.31,25551.79
Pink salmon Sutil Chnl (Area 13),1966,0,29.39,24994.17
Pink salmon Tebenkof (District109),1966,0,28.12,24111.65
Pink salmon Tenakee (District112),1966,0,30.08,25441.24
Pink salmon Totem By (District106),1966,0,29.82,25259.4
Pink salmon Tutka (Southern D),1966,0,28.44,24310.14
Pink salmon Unalakleet (Norton Sound),1966,0,27.89,23977.64
Pink salmon Union By (District107),1966,0,31.18,26130.5
Pink salmon Upper Cook Inlet,1966,0,28.07,24152.18
Pink salmon VancIsland (Area 13),1966,0,29.49,25082.7
Pink salmon WAdmiral (District112),1966,0,27.78,23973.08
Pink salmon WBehm (District 101),1966,0,28.35,24311.55
Pink salmon Wcrawfish (District113),1966,0,31.19,26102.65
Pink salmon West Kamchatka pink wild,1966,0,29.99,25366.65
Pink salmon Whale By (District113),1966,0,30.3,25598.11
Pink salmon Whale Pe (District106),1966,0,31.17,26126.84
Pink salmon Windy Creek (Outer D),1966,0,30.54,25703.96
Pointhead flounder Sea of Japan,1966,0,27.6,23811.51
Pollock Faroe Plateau,1966,2.463.768,29.11,24698.25
Pollock Gulf of Maine / Georges Bank,1966,0,29.09,24755.42
Pollock ICES 3a-4-6,1966,0,28.41,24299.02
Pollock North-East Arctic,1966,2.172.727,29.33,24908.37
Pollock St. Pierre Bank,1966,0,28.32,24235.54
Porbeagle shark Canadian Atlantic Ocean,1966,1.883.723,29.84,25287.85
Porbeagle shark Northeast Atlantic,1966,0,29.47,24951.19
Quillback rockfish Pacific Coast of Canada (Inside),1966,0,28.75,24547.95
Quillback rockfish Pacific Coast of Canada (Outside),1966,0,29.14,24769.12
Red king crab Bristol Bay,1966,0,29.26,24894.33
Red rock lobster New Zealand Area CRA1,1966,0,30.28,25583.72
Red rock lobster New Zealand Area CRA2,1966,0,31.2,26106.8
Red rock lobster New Zealand Area CRA3,1966,0,29.67,25154.3
Red rock lobster New Zealand Area CRA4,1966,0,30.42,25652.69
Red rock lobster New Zealand Area CRA5,1966,0,30.37,25612.43
Red rock lobster New Zealand Area CRA7,1966,0,30.9,25888.79
Red rock lobster New Zealand Area CRA8,1966,0,30.05,25332.41
Red seabream ICES 6-7-8,1966,0,30.92,25941.16
Red snapper Gulf of Mexico,1966,734.375,32.1,26677.52
Red snapper Southern Atlantic coast,1966,954.407,28.07,24115.75
Redfish species Gulf of St. Lawrence and Cabot Strait,1966,0,30.82,25896.78
Redfish species N and SW Grand Banks,1966,1.17,30.43,25655.73
Redfish species West Greenland,1966,0,29.78,25288.31
Rex sole Pacific Coast,1966,0,28.6,24422.58
Rock lobster South Australia Northern Zone,1966,0,27.96,24028.84
Rock lobster South Australia Southern Zone,1966,0,29.03,24674.2
Rock sole Hecate Strait,1966,4.429.565,28.18,24174.63
Rock sole Queen Charlotte Sound,1966,2.999.318,30.32,25599.57
Round nose flounder Sea of Japan,1966,0,29.04,24683.73
Sablefish Eastern Bering Sea / Aleutian Islands / Gulf of Alaska,1966,280.137,28.14,24132.51
Sablefish Pacific Coast,1966,1.709.572,29.28,24853.15
Sablefish Pacific Coast of Canada,1966,4.118.497,29.52,25037.66
Sailfin sandfish Sea of Japan North,1966,0,30.78,25881.06
Sailfish Eastern Atlantic,1966,1.9,28.22,24193.37
Sailfish Western Atlantic,1966,1.87,28.54,24383.54
Sandbar shark Atlantic,1966,0,29.03,24729.0
Sardine South Africa,1966,0,27.85,23968.65
School whiting Southeast Australia,1966,199.311,28.1,24108.83
Scup Northwestern Atlantic Coast,1966,0,31.18,26119.06
Sea mullet Queensland and New South Wales,1966,0,30.77,25865.92
Sea scallop Georges Bank and Mid-Atlantic Bight,1966,0,31.07,26058.63
Sea scallop Scallop Fishing Areas 16-20,1966,0,30.6,25773.62
Shallow water cape hake South Africa,1966,671.949,29.34,24996.14
Sharpchin rockfish Pacific Coast,1966,0,27.27,23594.74
Shortbelly rockfish Pacific Coast,1966,0,30.37,25627.52
Shortspine thornyhead Pacific Coast,1966,2.608.489,28.62,24491.62
Silver hake Gulf of Maine / Georges Bank,1966,0,30.49,25714.4
Silver hake Southern Georges Bank / Mid-Atlantic,1966,0,29.09,24784.43
Skipjack tuna Central Western Pacific Ocean,1966,0,30.22,25535.05
Skipjack tuna Eastern Atlantic,1966,1.96,30.88,25910.9
Skipjack tuna Eastern Pacific,1966,0,29.42,24989.5
Skipjack tuna Indian Ocean,1966,2.44,30.21,25484.46
Skipjack tuna Western Atlantic,1966,196.845,28.15,24137.46
Smooth oreo Chatham Rise,1966,242.479,29.5,24990.64
Smooth oreo West end of Chatham Rise,1966,2.499.863,29.81,25210.53
Smooth skate Gulf of Maine / Georges Bank-Southern New England,1966,0,30.43,25682.37
Sockeye salmon Adams,1966,0,31.38,26229.95
Sockeye salmon Anadyr sockeye wild,1966,0,28.7,24523.96
Sockeye salmon Atnarko (Area 8),1966,0,28.93,24655.99
Sockeye salmon Birkenhead,1966,0,28.03,24047.01
Sockeye salmon Black Lake,1966,0,28.49,24348.36
Sockeye salmon Bowron,1966,0,29.75,25180.35
Sockeye salmon Branch,1966,0,28.19,24193.45
Sockeye salmon Chignik Lake,1966,0,30.58,25738.09
Sockeye salmon Chilko,1966,0,29.36,24929.17
Sockeye salmon Columbia R,1966,0,28.31,24243.4
Sockeye salmon Cultus,1966,0,28.39,24307.29
Sockeye salmon East Kamchatka sockeye wild,1966,0,27.46,23708.48
Sockeye salmon Egegik,1966,0,29.19,24815.27
Sockeye salmon Gates,1966,0,27.85,23961.59
Sockeye salmon Horsefly,1966,0,28.95,24666.59
Sockeye salmon Igushik River,1966,0,28.05,24077.57
Sockeye salmon Japan High Seas catch sockeye hatchery,1966,0,29.94,25376.39
Sockeye salmon Japan High Seas catch sockeye wild,1966,0,28.64,24496.34
Sockeye salmon Kimsquit,1966,0,29.76,25197.99
Sockeye salmon Kitlope,1966,0,27.67,23834.59
Sockeye salmon Kvichak,1966,0,30.44,25685.78
Sockeye salmon Late Stuart,1966,0,30.27,25576.64
Sockeye salmon Long Lake,1966,0,29.43,25016.22
Sockeye salmon Mitchell,1966,0,30.11,25391.71
Sockeye salmon Nadina,1966,0,28.23,24230.42
Sockeye salmon Naknek,1966,0,29.95,25293.07
Sockeye salmon Nushagak,1966,0,30.55,25748.02
Sockeye salmon Nuyakuk,1966,0,30.05,25429.89
Sockeye salmon Okhotsk sockeye wild,1966,0,28.9,24624.04
Sockeye salmon Owikeno Lake,1966,0,29.4,24973.49
Sockeye salmon Pitt,1966,0,29.83,25266.79
Sockeye salmon Portage,1966,0,30.89,25957.27
Sockeye salmon Raft,1966,0,28.93,24658.42
Sockeye salmon Seymour,1966,0,30.63,25798.88
Sockeye salmon Skeena,1966,0,30.98,25997.81
Sockeye salmon Stellako,1966,0,29.98,25410.8
Sockeye salmon Togiak,1966,0,28.99,24730.89
Sockeye salmon Ugashik,1966,0,28.29,24256.62
Sockeye salmon Upper Cook Inlet,1966,0,29.11,24814.97
Sockeye salmon Weaver,1966,0,28.62,24449.34
Sockeye salmon Weaver Channel,1966,0,28.85,24588.11
Sockeye salmon West Kamchatka sockeye wild,1966,0,27.99,24101.44
Sockeye salmon Wood,1966,0,29.36,24959.45
Sockeye salmon fennell,1966,0,29.25,24886.21
Sockeye salmon harrison,1966,0,29.17,24828.74
Sockeye salmon scotch,1966,0,28.08,24136.23
Sockeye salmon shuswap,1966,0,28.39,24310.11
Softshell clam  Quebec Coastal Waters,1966,0,28.36,24308.46
South African abalone South Africa,1966,1.382.289,29.36,24956.3
South Pacific hake Central-Southern Chile,1966,665.718,27.04,23454.95
Southern bluefin tuna Southern Oceans,1966,1.89,28.63,24472.1
Spanish mackerel Gulf of Mexico,1966,1.818.358,27.93,24016.33
Spanish mackerel Southern Atlantic coast,1966,2.832.211,29.51,25054.11
Spiny dogfish Atlantic Coast,1966,0,30.77,25875.69
"Spiny dogfish Scotian Shelf, Bay of Fundy and Georges Bank",1966,1.986.111,30.76,25880.35
Splitnose rockfish Pacific Coast,1966,276.699,28.82,24557.37
Spotted spiny dogfish Pacific Coast,1966,1.495.681,27.78,23902.22
Sprat ICES 6-7abcfghijk,1966,0,28.46,24328.06
Spurdog Northeast Atlantic,1966,101.082,29.93,25285.97
Striped marlin Indian Ocean,1966,1.68,27.98,24020.52
Striped marlin Northeast Pacific,1966,0,29.43,24995.03
Striped marlin Western Pacific Ocean,1966,1.6,30.58,25746.58
Striped marlin Western and Central North Pacific,1966,0,28.93,24646.57
Summer flounder Mid-Atlantic Coast,1966,0,28.64,24436.16
Swordfish Eastern Pacific,1966,1.93,28.5,24345.49
Swordfish Indian Ocean,1966,4.21,28.53,24364.69
Swordfish Mediterranean Sea,1966,0,29.83,25260.21
Swordfish North Pacific Ocean,1966,129.776,29.09,24757.8
Swordfish Northern Atlantic,1966,1.660.006,28.0,24026.88
Swordfish South Atlantic,1966,1.936.258,27.7,23879.4
Tanner crab Bering Sea and Aleutian Islands,1966,1.496.771,30.37,25584.95
Tarakihi Sub-Antarctic,1966,3.62,29.17,24878.43
Thorny skate Grand Bank and St Pierre Bank,1966,0,29.65,25118.91
Thorny skate Gulf of Maine / Georges Bank-Southern New England,1966,0,30.48,25684.34
Tiger flathead Southeast Australia,1966,41.991,29.32,24928.13
Tilefish Gulf of Mexico,1966,0,29.39,24955.63
Tilefish Mid-Atlantic Coast,1966,0,28.58,24415.28
Tilefish Southern Atlantic coast,1966,4.459.848,29.84,25309.95
Trevally New Zealand Areas TRE 7,1966,2.227.047,29.28,24843.42
Turbot Black Sea,1966,0,29.5,25039.11
Turbot Kattegat and Skagerrak,1966,0,29.01,24637.13
Vermilion snapper Gulf of Mexico,1966,2.700.508,30.29,25540.72
Vermilion snapper Southern Atlantic coast,1966,3.244.147,29.46,25013.5
Walleye pollock Eastern Bering Sea,1966,350.616,29.99,25389.65
Walleye pollock Northern Sea of Okhotsk,1966,719.198,29.17,24824.13
West coast rock lobster South Africa Area 7,1966,0,28.09,24095.05
West coast rock lobster South Africa Area 8,1966,0,31.4,26257.4
West coast rock lobster South Africa Areas 1-2,1966,0,31.33,26219.26
West coast rock lobster South Africa Areas 3-4,1966,0,30.47,25672.24
West coast rock lobster South Africa Areas 5-6,1966,0,29.62,25059.98
White hake Gulf of Maine / Georges Bank,1966,626.728,29.41,25047.27
White hake Northern Gulf of St. Lawrence,1966,0,29.46,24996.16
"White hake Scotian Shelf, Bay of Fundy and Georges Bank",1966,0,29.13,24753.98
White hake Southern Gulf of St. Lawrence,1966,0,28.26,24196.84
White hake St. Pierre Bank,1966,0,27.51,23757.79
White marlin Atlantic Ocean,1966,1.661.183,30.16,25435.29
Whiting Rockall Bank,1966,0,29.78,25203.81
Widow rockfish Pacific Coast,1966,2.236.471,28.97,24673.56
Winter flounder Georges Bank,1966,0,29.88,25289.91
Winter flounder Southern Gulf of St. Lawrence,1966,0,29.17,24753.16
Witch flounder Gulf of St. Lawrence,1966,1.445.693,29.99,25351.78
Yelloweye rockfish Pacific Coast,1966,2.070.056,28.87,24624.78
Yelloweye rockfish Pacific Coast of Canada (Inside),1966,0,27.64,23825.69
Yellowfin sole Bering Sea and Aleutian Islands,1966,19.954,28.29,24208.26
Yellowfin tuna Atlantic Ocean,1966,2.3,30.27,25519.79
Yellowfin tuna Central Western Pacific Ocean,1966,4.26,28.52,24385.49
Yellowfin tuna Eastern Pacific,1966,0,29.68,25177.02
Yellowfin tuna Indian Ocean,1966,2.97,29.2,24793.52
Yellowtail flounder Georges Bank,1966,0,29.52,25080.26
Yellowtail flounder Grand Banks,1966,1.98,31.04,26002.92
Yellowtail rockfish Northern Pacific Coast,1966,0,30.36,25639.46
Yellowtail snapper Southern Atlantic coast and Gulf of Mexico,1966,0,28.16,24187.31
Acadian redfish Gulf of Maine / Georges Bank,1967,476.678,27.63,23938.97
Acadian redfish NAFO Division 2J3K,1967,0,29.26,25024.47
Acadian redfish NAFO Division 3LNO and Units 1 and 2,1967,0,28.21,24294.89
Acadian redfish Unit 3,1967,0,27.82,24040.69
Alaska skate Bering Sea and Aleutian Islands,1967,2.445.623,30.64,25870.63
Albacore tuna Indian Ocean,1967,3.84,28.99,24779.9
Albacore tuna Mediterranean Sea,1967,0,29.97,25465.93
Albacore tuna North Pacific Ocean,1967,0,31.58,26427.45
Albacore tuna Northern Atlantic,1967,1.4,28.07,24200.71
Albacore tuna South Atlantic,1967,2.19,28.89,24744.51
Albacore tuna South Pacific Ocean,1967,6.9,28.0,24187.18
American lobster Gaspe (LFA 19-21),1967,0,29.03,24836.6
American lobster Lobster Fishing Area 34,1967,0,30.49,25794.11
American lobster Lobster Fishing Areas 3-14,1967,0,29.18,24969.57
American lobster Lobster Fishing Areas 35-38,1967,0,28.23,24315.07
American lobster Magdalen Islands (LFA 22),1967,0,30.27,25649.21
American lobster Southern Gulf of St. Lawrence,1967,0,27.75,23998.72
American plaice Flemish Cap,1967,0,27.55,23872.77
American plaice Grand Banks,1967,0,30.14,25549.5
American plaice Gulf of Maine / Georges Bank,1967,0,28.96,24826.92
American plaice Labrador - NE Newfoundland,1967,0,30.12,25594.08
American plaice Scotian Shelf and Bay of Fundy,1967,0,29.68,25259.95
American plaice Southern Gulf of St. Lawrence,1967,0,30.12,25530.1
American plaice St. Pierre Bank,1967,0,29.72,25282.61
Anchovy Northern Spain,1967,1.494.278,28.41,24430.43
Anchovy South Africa,1967,0,28.54,24518.06
Arrowtooth flounder Gulf of Alaska,1967,662.261,29.51,25119.47
Arrowtooth flounder Pacific Coast,1967,2.808.992,28.37,24366.48
Atlantic bluefin tuna Eastern Atlantic,1967,746.952,29.76,25319.57
Atlantic bluefin tuna Western Atlantic,1967,0,29.6,25223.77
Atlantic butterfish Gulf of Maine / Cape Hatteras,1967,0,28.93,24766.91
Atlantic cod Eastern Baltic,1967,2.426.304,28.72,24651.48
Atlantic cod Eastern Scotian Shelf,1967,0,28.51,24490.41
Atlantic cod Faroe Bank,1967,0,27.94,24120.25
Atlantic cod Faroe Plateau,1967,2.203.517,28.86,24721.69
Atlantic cod Flemish Cap,1967,0,29.54,25190.47
Atlantic cod ICES 3a(west)-4-7d,1967,1.62,31.08,26183.12
Atlantic cod Iceland Grounds,1967,1.168.182,28.98,24773.5
Atlantic cod NAFO 1abdce,1967,0,30.57,25872.11
Atlantic cod NAFO 1f and ICES 14,1967,0,27.55,23871.13
Atlantic cod NAFO Subarea 1 (inshore),1967,0,28.49,24448.83
Atlantic cod North-East Arctic,1967,291.304,28.03,24158.29
Atlantic cod Northern Gulf of St. Lawrence,1967,0,28.48,24476.79
Atlantic cod Southern Grand Banks,1967,0,29.04,24791.65
Atlantic cod Southern Gulf of St. Lawrence,1967,0,29.16,24942.04
Atlantic cod Southern Labrador-Eastern Newfoundland,1967,916,26.98,23534.12
Atlantic cod St. Pierre Bank,1967,0,27.61,23909.07
Atlantic cod Western Baltic,1967,0,30.66,25868.66
"Atlantic cod Western Scotian Shelf, Bay of Fundy and Gulf of Maine",1967,0,28.36,24400.56
Atlantic halibut Gulf of Maine / Georges Bank,1967,28.163,28.71,24634.45
Atlantic menhaden Atlantic,1967,425.126,29.33,25035.57
Atlantic sharpnose shark Atlantic,1967,2.052.288,28.62,24523.9
Atlantic surfclam Mid-Atlantic Coast,1967,0,29.36,25055.75
