country,year,SST
English sole Hecate Strait,1976,29.39
English sole Pacific Coast,1976,30.62
Eulachon Pacific Coast of Canada Central Coast Designatable Unit,1976,29.69
Eulachon Pacific Coast of Canada Fraser River Designatable Unit,1976,28.11
Eulachon Pacific Coast of Canada Nass / Skeena Designatable Unit,1976,30.13
European flounder ICES 3a-4,1976,29.5
European flounder Subdivisions 22-23,1976,28.9
European flounder Subdivisions 24-25,1976,29.71
European plaice ICES 7bc,1976,30.62
European plaice North Sea,1976,27.56
Finetooth shark Atlantic,1976,29.56
Flathead sole Bering Sea and Aleutian Islands,1976,30.73
Gag Gulf of Mexico,1976,28.33
Gag Southern Atlantic coast,1976,29.57
Giant stargazer NZ Area STA7,1976,29.61
Golden redfish ICES 5-6-12-14,1976,28.69
Goliath grouper Southern Atlantic coast and Gulf of Mexico,1976,30.38
Gopher rockfish Southern Pacific Coast,1976,29.31
Gray triggerfish Gulf of Mexico,1976,27.82
Greater amberjack Gulf of Mexico,1976,30.48
Greater amberjack Southern Atlantic coast,1976,30.04
Greater silver smelt ICES 6b-7-8-9-10-12,1976,29.71
Greenland halibut Bering Sea and Aleutian Islands,1976,28.58
Greenland halibut Gulf of St. Lawrence,1976,28.25
Greenland halibut ICES 5-6-12-14,1976,30.51
Greenland halibut Labrador Shelf - Grand Banks,1976,28.7
Greenland halibut North-East Arctic,1976,27.66
Greenspotted rockfish Northern Pacific Coast,1976,31.42
Greenspotted rockfish Southern Pacific Coast,1976,28.54
Greenstriped rockfish Pacific Coast,1976,28.8
Grooved tiger prawn Northern Australia,1976,30.09
Gulf menhaden Gulf of Mexico,1976,28.19
Haddock Faroe Plateau,1976,27.99
Haddock Georges Bank,1976,30.1
Haddock Grand Banks,1976,30.27
Haddock Gulf of Maine,1976,30.08
Haddock ICES 3a-4-6a,1976,28.77
Haddock North-East Arctic,1976,30.85
"Haddock Western Scotian Shelf, Bay of Fundy and Gulf of Maine",1976,29.2
Herring Gulf of Riga East of Gotland,1976,30.08
Herring ICES 3a-4-7d,1976,29.16
Herring ICES 5a-7bc,1976,30.81
Herring ICES 7a-g-h-j,1976,30.64
Herring NAFO division 4R (Fall spawners),1976,28.85
Herring NAFO division 4R (Spring spawners),1976,29.23
Herring Newfoundland East and South Coast,1976,28.34
Herring Northwestern Atlantic Coast,1976,30.99
Herring Scotian Shelf and Bay of Fundy,1976,30.57
Herring Southern Gulf of St. Lawrence (Fall spawners),1976,30.57
Herring Southern Gulf of St. Lawrence (Spring spawners),1976,30.68
Herring Subdivisions 25-29 and 32,1976,28.42
Herring West of Scotland,1976,30.69
Hoki Eastern New Zealand,1976,28.23
Hoki Western New Zealand,1976,28.88
Indo Pacific blue marlin Indian Ocean,1976,31.12
Jackass morwong Eastern half of Southeast Australia,1976,30.23
Japanese amberjack Japan,1976,29.38
Japanese anchovy Inland Sea of Japan,1976,30.35
Japanese anchovy Tsushima Strait,1976,31.67
Japanese flounder East China Sea,1976,30.81
Japanese flounder Inland Sea of Japan,1976,28.52
Japanese flounder Pacific Ocean,1976,29.03
Japanese flounder Sea of Japan North,1976,31.79
Japanese jack mackerel Tsushima Strait,1976,28.8
Japanese sardine Pacific Coast of Japan,1976,28.47
Japanese sardine Tsushima Strait,1976,29.29
Kelp greenling Oregon Coast,1976,29.63
Kichiji rockfish North Pacific,1976,28.12
Kichiji rockfish Okhotsk Sea,1976,29.88
Kichiji rockfish Southwestern coast of Hokkaido,1976,28.82
King mackerel Gulf of Mexico,1976,28.9
King mackerel Southern Atlantic coast,1976,29.08
Lemon sole ICES 3a-4-7d,1976,28.46
Ling New Zealand Areas LIN 3 and 4,1976,28.56
Ling New Zealand Areas LIN 5 and 6,1976,29.76
Ling New Zealand Areas LIN 72,1976,28.86
Ling New Zealand Areas LIN 7WC-WCSI,1976,28.66
Ling Southeast Australia,1976,29.4
Ling Western half of Southeast Australia,1976,30.09
Lingcod Northern Pacific Coast,1976,30.76
Lingcod Southern Pacific Coast,1976,30.45
Lingcod Strait of Georgia,1976,30.14
Little skate Gulf of Maine / Cape Hatteras,1976,27.68
Longfin inshore squid Atlantic Coast,1976,31.31
Longnose skate Hecate Strait,1976,30.09
Longnose skate Pacific Coast,1976,29.96
Longnose skate Queen Charlotte Sound,1976,28.64
Longnose skate West Coast of Vancouver Island,1976,30.62
Longspine thornyhead Pacific Coast,1976,30.2
Mackerel Northwest Atlantic (NAFO Subareas 3 and 4),1976,31.14
Monkfish NAFO Divisions 3LNOPs,1976,31.05
New Zealand snapper New Zealand Area 8 (Auckland and Central West),1976,27.99
New Zealand snapper New Zealand SNA 1 Bay of Plenty and Hauraki Gulf,1976,28.13
New Zealand snapper New Zealand SNA 1 east Northland,1976,29.9
New Zealand snapper New Zealand SNA 7,1976,28.5
Northern rock sole Eastern Bering Sea and Aleutian Islands,1976,28.55
Northern rockfish Bering Sea and Aleutian Islands,1976,30.39
Northern rockfish Gulf of Alaska,1976,30.14
Northern shortfin squid Northwestern Atlantic Coast,1976,30.33
Northern shrimp Gulf of Maine,1976,27.62
Northern shrimp Gulf of St. Lawrence,1976,29.4
Northern shrimp ICES 3a(west)-4a(east),1976,29.39
Northern shrimp North-East Arctic,1976,29.99
Northern shrimp Northern North Sea,1976,29.67
"Norway lobster Adriatic Sea (GSA 17,18)",1976,30.99
Norway lobster Aran Grounds (FU 17),1976,31.78
Norway lobster Irish Sea West (FU 15),1976,29.87
Norway lobster North Galicia (FU 25),1976,30.83
Norway lobster Skagerak Kattegat (FU 3-4),1976,28.19
Norway lobster West Galicia and North Portugal (FU 26-27),1976,29.53
Norway pout West of Scotland,1976,29.35
Nylon shrimp Central-Southern Chile,1976,28.36
Nylon shrimp Northern Chile,1976,29.96
Ocean pout Northwestern Atlantic Coast,1976,30.36
Orange roughy East and South Chatham Rise,1976,29.47
Orange roughy New Zealand Challenger Plateau,1976,28.93
Orange roughy New Zealand Mid East Coast,1976,29.75
Orange roughy Northwest Chatham Rise,1976,29.75
Pacific bluefin tuna Pacific Ocean,1976,27.69
Pacific chub mackerel Pacific Coast,1976,28.86
Pacific cod Hecate Strait,1976,29.35
Pacific cod North Pacific,1976,28.85
Pacific cod Queen Charlotte Sound,1976,28.62
Pacific cod Sea of Japan,1976,28.96
Pacific cod West Coast of Vancouver Island,1976,30.03
Pacific hake Pacific Coast,1976,27.78
Pacific halibut North Pacific,1976,28.94
Pacific herring Central Coast,1976,28.97
Pacific herring Hokkaido,1976,31.11
Pacific herring Prince Rupert District,1976,30.1
Pacific herring Queen Charlotte Islands,1976,29.34
Pacific herring Strait of Georgia,1976,28.48
Pacific herring West Coast of Vancouver Island,1976,30.46
Pacific ocean perch Eastern Bering Sea and Aleutian Islands,1976,30.03
Pacific ocean perch Gulf of Alaska,1976,29.43
Pacific ocean perch Haida Gwaii,1976,30.12
Pacific ocean perch Pacific Coast,1976,29.56
Pacific ocean perch West Coast of Vancouver Island,1976,30.16
Patagonian toothfish Macquarie Island,1976,29.12
Patagonian toothfish South Africa Subantarctic Prince Edward Islands,1976,31.12
Patagonian toothfish South Chile Argentina,1976,29.02
Paua NZ Area North PAUA 5A,1976,27.95
Paua NZ Area South PAUA 5A,1976,29.35
Paua New Zealand Area PAU 5B (Stewart Island),1976,27.94
Paua New Zealand Area PAU 5D (Otago),1976,27.6
Paua New Zealand Area PAU 7 (Marlborough),1976,30.51
Peruvian anchoveta North-Central Peruvian coast,1976,28.3
Petrale sole Pacific Coast,1976,29.19
Pink cusk eel Central-Southern Chile,1976,31.2
Pink cusk eel Southern Chile,1976,29.79
Pink salmon AK Pen Northwestern District,1976,29.25
Pink salmon AK Pen Southeastern and South-central Districts,1976,28.44
Pink salmon AK Pen Southwestern and Unimak Districts,1976,30.97
Pink salmon Affleck Cl (District105),1976,29.92
Pink salmon Aialik Lagoon (Eastern D),1976,30.59
Pink salmon Amakdedori Creek (Kamishak D),1976,29.92
Pink salmon Amur pink wild,1976,28.8
Pink salmon Anadyr pink wild,1976,28.42
Pink salmon Anan (District107),1976,28.47
Pink salmon Area 10,1976,28.41
Pink salmon Area 12,1976,30.84
Pink salmon Area 13,1976,29.8
Pink salmon Area 2E,1976,31.09
Pink salmon Area 6,1976,30.7
Pink salmon Area 8,1976,29.25
Pink salmon Area 9,1976,30.97
Pink salmon Area21-27,1976,28.06
Pink salmon Atnarko (Area 8),1976,28.57
Pink salmon Auke Creek (Northern Inside),1976,28.67
Pink salmon Barabara (Southern D),1976,28.82
Pink salmon Baranof E (District109),1976,30.34
Pink salmon BetwLoandBte (Area 13),1976,28.04
Pink salmon Big Kamishak River  (Kamishak D),1976,30.11
Pink salmon BondSound (Area 12),1976,31.08
Pink salmon Bruin River,1976,30.6
Pink salmon Burnett (District106),1976,30.04
Pink salmon Burrard,1976,30.79
Pink salmon Chignik Bay District,1976,29.63
Pink salmon Chignik Central District,1976,28.88
Pink salmon Chignik Eastern District,1976,30.43
Pink salmon Chignik Western District,1976,30.22
Pink salmon China Poot (Southern D),1976,29.51
Pink salmon Coghill District,1976,29.33
Pink salmon Dogfish (Southern D),1976,29.61
Pink salmon EBehm (District 101),1976,29.6
Pink salmon EDall (District103),1976,28.92
Pink salmon East Kamchatka pink wild,1976,30.69
Pink salmon East Sakhalin pink hatchery,1976,29.81
Pink salmon East Sakhalin pink wild,1976,29.28
Pink salmon Eliza Hbr (District109),1976,30.55
Pink salmon Eshamy District,1976,28.91
Pink salmon Farragut (District110),1976,31.08
Pink salmon Freshw By (District112),1976,28.38
Pink salmon Golovin,1976,27.87
Pink salmon Hetta (District103),1976,30.48
Pink salmon Homeshor (District114),1976,30.56
Pink salmon Hoonah S (District113),1976,27.54
Pink salmon Houghton (District110),1976,31.04
Pink salmon Humpy Creek (Cook Inlet Southern D),1976,29.63
Pink salmon Humpy Creek (Yakutat),1976,31.01
Pink salmon Igushik River,1976,30.52
Pink salmon Japan High Seas catch pink hatchery,1976,31.05
Pink salmon Japan High Seas catch pink wild,1976,31.11
Pink salmon Japan coastal pink hatchery,1976,28.54
Pink salmon Japan coastal pink wild,1976,30.83
Pink salmon Johnst St (Area 13),1976,30.07
Pink salmon JohnstoneSt (Area 12),1976,30.09
Pink salmon Kasaan (District102),1976,30.61
Pink salmon Kelp By (District112),1976,29.39
Pink salmon KingcomeInlet (Area 12),1976,30.08
Pink salmon Klawock (District103),1976,30.97
Pink salmon KnightInlet (Area 12),1976,29.09
Pink salmon Kuskokwim,1976,29.8
Pink salmon Lisianski (District113),1976,28.25
Pink salmon Little Kamishak River (Kamishak D),1976,30.34
Pink salmon Loughb It (Area 13),1976,30.08
Pink salmon Lynn Cnl (District112),1976,31.65
Pink salmon Lynn Cnl (District115),1976,27.94
Pink salmon Moira (District102),1976,29.26
Pink salmon Montague District,1976,30.24
Pink salmon Moses Point and Norton Bay (Norton Sound),1976,28.7
Pink salmon Nchichago (District114),1976,30.64
Pink salmon NearKingcome (Area 12),1976,30.66
Pink salmon Nome (Norton Sound),1976,28.95
Pink salmon Northern/Unakwik District,1976,29.81
Pink salmon Nushagak River,1976,30.96
Pink salmon Okhotsk pink hatchery,1976,28.74
Pink salmon Okhotsk pink wild,1976,31.05
Pink salmon PWS Eastern District,1976,30.51
Pink salmon PWS Northwestern District,1976,29.54
Pink salmon PWS Southeastern District,1976,30.24
Pink salmon PWS Southwest District,1976,30.41
Pink salmon Perryville District,1976,29.96
Pink salmon Port Chatham (Outer D),1976,30.52
Pink salmon Port Dick (Outer D),1976,30.27
Pink salmon Port Graham (Southern D),1976,29.57
Pink salmon Portage B (District110),1976,28.5
Pink salmon Portland (District 101),1976,28.11
Pink salmon Portlock (District113),1976,29.89
Pink salmon Primorye pink wild,1976,29.69
Pink salmon Pybus/Ga (District110),1976,30.12
Pink salmon Ratz Hbr (District106),1976,30.82
Pink salmon Resurrection Bay (Eastern D),1976,31.15
Pink salmon Rocky River (Outer D),1976,28.85
Pink salmon SE Baran (District109),1976,29.2
Pink salmon SWAdmir (District112),1976,28.46
Pink salmon Saginw By (District109),1976,29.42
Pink salmon Salisbury (District113),1976,28.42
Pink salmon Sashin Creek (Northern Inside),1976,29.0
Pink salmon SeaOtter (District103),1976,31.31
Pink salmon Seldovia Bay  (Southern D),1976,28.91
Pink salmon Seymour (District111),1976,28.79
Pink salmon Shaktoolik (Norton Sound),1976,30.6
Pink salmon Shipley (District105),1976,28.79
Pink salmon Sitka Sd (District113),1976,30.18
Pink salmon Situk River,1976,28.91
Pink salmon Slocum (District113),1976,29.72
Pink salmon Snake River,1976,29.59
Pink salmon South AK Peninsula w/o Chignik,1976,29.8
Pink salmon Squamish,1976,30.13
Pink salmon Stephens (District111),1976,28.43
Pink salmon Stikine (District108),1976,27.99
Pink salmon SundChnl (Area 13),1976,28.64
Pink salmon Sunday and Browns Peak Creek (Kamishak D),1976,30.77
Pink salmon Tebenkof (District109),1976,27.9
Pink salmon Tenakee (District112),1976,30.76
Pink salmon Totem By (District106),1976,30.46
Pink salmon Tutka (Southern D),1976,28.33
Pink salmon Unalakleet (Norton Sound),1976,29.04
Pink salmon Union By (District107),1976,31.74
Pink salmon Upper Cook Inlet,1976,28.82
Pink salmon VancIsland (Area 13),1976,31.01
Pink salmon WAdmiral (District112),1976,29.4
Pink salmon WBehm (District 101),1976,29.25
Pink salmon Wcrawfish (District113),1976,30.34
Pink salmon West Kamchatka pink hatchery,1976,28.89
Pink salmon West Kamchatka pink wild,1976,30.34
Pink salmon Whale By (District113),1976,31.02
Pink salmon Whale Pe (District106),1976,31.98
Pink salmon Windy Creek (Outer D),1976,29.94
Pink salmon Wood River,1976,28.47
Pointhead flounder Sea of Japan,1976,27.82
Pollock Faroe Plateau,1976,28.86
Pollock Gulf of Maine / Georges Bank,1976,28.92
Pollock ICES 3a-4-6,1976,29.09
Pollock North-East Arctic,1976,29.28
Pollock St. Pierre Bank,1976,27.78
Porbeagle shark Canadian Atlantic Ocean,1976,31.35
Porbeagle shark Northeast Atlantic,1976,29.28
Quillback rockfish Pacific Coast of Canada (Inside),1976,29.0
Quillback rockfish Pacific Coast of Canada (Outside),1976,29.36
Red grouper South Atlantic,1976,29.11
Red king crab Bristol Bay,1976,29.91
Red king crab Norton Sound,1976,31.36
Red porgy Southern Atlantic coast,1976,28.45
Red rock lobster New Zealand Area CRA1,1976,30.63
Red rock lobster New Zealand Area CRA2,1976,30.46
Red rock lobster New Zealand Area CRA3,1976,30.09
Red rock lobster New Zealand Area CRA4,1976,30.01
Red rock lobster New Zealand Area CRA5,1976,30.89
Red rock lobster New Zealand Area CRA7,1976,29.23
Red rock lobster New Zealand Area CRA8,1976,28.54
Red seabream East China Sea,1976,29.0
Red seabream ICES 6-7-8,1976,31.42
Red snapper Gulf of Mexico,1976,32.14
Red snapper Southern Atlantic coast,1976,28.98
Red squat lobster Central-Southern Chile,1976,28.15
Redfish Eastern Australia,1976,28.45
Redfish species Gulf of St. Lawrence and Cabot Strait,1976,30.86
Redfish species N and SW Grand Banks,1976,31.32
Redfish species West Greenland,1976,30.26
Rex sole Pacific Coast,1976,29.16
Rock lobster South Australia Northern Zone,1976,27.69
Rock lobster South Australia Southern Zone,1976,28.22
Rock sole Hecate Strait,1976,28.58
Rock sole Queen Charlotte Sound,1976,30.95
Rosette skate Mid-Atlantic Coast,1976,28.56
Rougheye rockfish Bering Sea and Aleutian Islands,1976,28.31
Rougheye rockfish Gulf of Alaska,1976,30.26
Roughscale sole North Pacific,1976,28.11
Round herring Tsushima Strait,1976,28.64
Round nose flounder Sea of Japan,1976,28.88
Roundnose grenadier Mid-Atlantic Ridge,1976,30.52
Sablefish Eastern Bering Sea / Aleutian Islands / Gulf of Alaska,1976,29.29
Sablefish Pacific Coast,1976,29.1
Sablefish Pacific Coast of Canada,1976,30.21
Sailfin sandfish Sea of Japan North,1976,30.77
Sailfin sandfish Sea of Japan West,1976,29.06
Sailfish Eastern Atlantic,1976,29.02
Sailfish Western Atlantic,1976,28.86
Sand eel West of Scotland,1976,30.26
Sandbar shark Atlantic,1976,29.26
"Sardine Adriatic Sea (GSA 17,18)",1976,31.08
Sardine ICES 7,1976,29.15
Sardine South Africa,1976,28.68
School whiting Southeast Australia,1976,27.89
Scup Northwestern Atlantic Coast,1976,30.33
Sea mullet Queensland and New South Wales,1976,30.04
Sea scallop Bay of Fundy (SPA 1-6),1976,31.03
Sea scallop Georges Bank and Mid-Atlantic Bight,1976,30.92
Sea scallop Scallop Fishing Areas 16-20,1976,31.4
Sea scallop Southern Gulf of St. Lawrence,1976,30.09
Sea scallop St. Pierre Bank,1976,29.32
Shako Ise and Mikawa Bay,1976,28.68
Shallow water cape hake South Africa,1976,31.24
Sharpchin rockfish Pacific Coast,1976,27.78
Shortbelly rockfish Pacific Coast,1976,30.51
Shortspine thornyhead Pacific Coast,1976,28.99
Silver hake Gulf of Maine / Georges Bank,1976,30.89
Silver hake Scotian Shelf and Bay of Fundy,1976,29.75
Silver hake Southern Georges Bank / Mid-Atlantic,1976,28.85
Skipjack tuna Central Western Pacific Ocean,1976,30.81
Skipjack tuna Eastern Atlantic,1976,30.69
Skipjack tuna Eastern Pacific,1976,29.08
Skipjack tuna Indian Ocean,1976,29.61
Skipjack tuna Western Atlantic,1976,28.22
Smooth oreo Chatham Rise,1976,29.84
Smooth oreo East Pukaki Rise,1976,27.47
Smooth oreo Southland,1976,29.99
Smooth oreo West end of Chatham Rise,1976,29.84
Smooth skate Gulf of Maine / Georges Bank-Southern New England,1976,30.57
Smooth skate Southern Gulf of St. Lawrence,1976,28.37
Snowy grouper Southern Atlantic coast,1976,29.91
Sockeye salmon Adams,1976,30.59
Sockeye salmon Akalura Lake,1976,29.72
Sockeye salmon Akwe River,1976,28.53
Sockeye salmon Anadyr sockeye wild,1976,29.56
Sockeye salmon Atnarko (Area 8),1976,29.26
Sockeye salmon Birkenhead,1976,28.39
Sockeye salmon Black Lake,1976,28.05
Sockeye salmon Bowron,1976,29.65
Sockeye salmon Branch,1976,28.74
Sockeye salmon Chignik Lake,1976,30.07
Sockeye salmon Chilkat Lake,1976,31.02
Sockeye salmon Chilko,1976,28.26
Sockeye salmon Chilko South,1976,29.73
Sockeye salmon Chilkoot Lake,1976,27.29
Sockeye salmon Columbia R,1976,28.43
Sockeye salmon Cultus,1976,29.16
Sockeye salmon Early Upper Station,1976,27.54
Sockeye salmon East Kamchatka sockeye wild,1976,28.28
Sockeye salmon East-Alsek-Doame River,1976,31.09
Sockeye salmon Egegik,1976,29.31
Sockeye salmon Gates,1976,28.21
Sockeye salmon Gates Channel,1976,30.55
Sockeye salmon Horsefly,1976,28.25
Sockeye salmon Igushik River,1976,28.25
Sockeye salmon Italo River,1976,31.08
Sockeye salmon Japan High Seas catch sockeye hatchery,1976,30.58
Sockeye salmon Japan High Seas catch sockeye wild,1976,29.1
Sockeye salmon Karluk Lake,1976,30.01
Sockeye salmon Kimsquit,1976,29.67
Sockeye salmon Kitlope,1976,28.3
Sockeye salmon Klukshu River,1976,30.68
Sockeye salmon Kvichak,1976,30.84
Sockeye salmon Lake Washington,1976,31.05
Sockeye salmon Late Stuart,1976,31.34
Sockeye salmon Late Upper Station,1976,29.56
Sockeye salmon Little River,1976,29.53
Sockeye salmon Long Lake,1976,28.95
Sockeye salmon Lost River,1976,29.89
Sockeye salmon Malina Lake,1976,28.52
Sockeye salmon Mitchell,1976,29.09
Sockeye salmon Nadina,1976,28.63
Sockeye salmon Nadina Channel,1976,29.91
Sockeye salmon Naknek,1976,29.47
Sockeye salmon Nass,1976,29.37
Sockeye salmon Nushagak,1976,30.8
Sockeye salmon Nuyakuk,1976,30.38
Sockeye salmon Okhotsk sockeye wild,1976,28.78
Sockeye salmon Owikeno Lake,1976,30.27
Sockeye salmon Pasagshak River,1976,27.32
Sockeye salmon Pauls Bay Drainage,1976,30.8
Sockeye salmon Pitt,1976,31.28
Sockeye salmon Portage,1976,31.61
Sockeye salmon Quinault,1976,27.94
Sockeye salmon Raft,1976,28.87
Sockeye salmon Saltery Lake,1976,28.99
Sockeye salmon Seymour,1976,30.81
Sockeye salmon Situk River,1976,28.45
Sockeye salmon Skeena,1976,30.67
Sockeye salmon Stellako,1976,30.35
Sockeye salmon Togiak,1976,29.58
Sockeye salmon Uganik Lake,1976,29.94
Sockeye salmon Ugashik,1976,29.24
Sockeye salmon Upper Cook Inlet,1976,29.42
Sockeye salmon Weaver,1976,28.8
Sockeye salmon Weaver Channel,1976,28.57
Sockeye salmon West Kamchatka sockeye wild,1976,29.37
Sockeye salmon Wood,1976,30.2
Sockeye salmon cayenne,1976,30.33
Sockeye salmon chilliwack,1976,29.83
Sockeye salmon fennell,1976,29.33
Sockeye salmon harrison,1976,30.69
Sockeye salmon nahatlatch,1976,30.88
Sockeye salmon scotch,1976,28.82
Sockeye salmon shuswap,1976,28.46
Sockeye salmon taseko,1976,29.16
Softshell clam  Quebec Coastal Waters,1976,29.58
South African abalone South Africa,1976,29.37
South Pacific hake Central-Southern Chile,1976,28.62
Southern bluefin tuna Southern Oceans,1976,29.41
Southern hake Chatham Rise,1976,29.12
Southern hake Sub-Antarctic,1976,30.79
Southern hake West Coast South Island,1976,29.51
Southern spiny lobster South Africa South coast,1976,28.18
Spanish mackerel Gulf of Mexico,1976,28.5
Spanish mackerel Southern Atlantic coast,1976,29.7
Spiny dogfish Atlantic Coast,1976,30.01
"Spiny dogfish Scotian Shelf, Bay of Fundy and Georges Bank",1976,29.9
Splitnose rockfish Pacific Coast,1976,29.0
Spotted spiny dogfish Pacific Coast,1976,28.07
Sprat Baltic Areas 22-32,1976,29.51
Sprat ICES 6-7abcfghijk,1976,28.16
Sprat Kattegat and Skagerrak,1976,28.62
Sprat North Sea,1976,28.98
Spurdog Northeast Atlantic,1976,30.34
Starry flounder Northern Pacific Coast,1976,29.8
Starry flounder Southern Pacific Coast,1976,29.23
Striped marlin Indian Ocean,1976,28.65
Striped marlin Northeast Pacific,1976,29.5
Striped marlin Western Pacific Ocean,1976,30.33
Striped marlin Western and Central North Pacific,1976,28.77
Striped red mullet ICES 6-7abcefghijk-8-9a,1976,29.26
Summer flounder Mid-Atlantic Coast,1976,28.73
Swordfish Eastern Pacific,1976,27.63
Swordfish Indian Ocean,1976,28.38
Swordfish Mediterranean Sea,1976,30.14
Swordfish North Pacific Ocean,1976,28.82
Swordfish Northern Atlantic,1976,28.83
Swordfish South Atlantic,1976,28.95
Tanner crab Bering Sea and Aleutian Islands,1976,29.81
Tarakihi Sub-Antarctic,1976,30.16
Thorny skate Grand Bank and St Pierre Bank,1976,29.95
Thorny skate Gulf of Maine / Georges Bank-Southern New England,1976,30.59
Thorny skate Southern Gulf of St. Lawrence,1976,31.41
Tiger flathead Southeast Australia,1976,29.94
Tilefish Gulf of Mexico,1976,29.52
Tilefish Mid-Atlantic Coast,1976,28.7
Tilefish Southern Atlantic coast,1976,32.27
Trevally New Zealand Areas TRE 7,1976,28.26
Turbot Baltic Areas 22-32,1976,28.54
Turbot Black Sea,1976,29.55
Turbot Kattegat and Skagerrak,1976,28.76
Vermilion snapper Gulf of Mexico,1976,28.86
Vermilion snapper Southern Atlantic coast,1976,28.69
Walleye pollock Eastern Bering Sea,1976,30.34
Walleye pollock Gulf of Alaska,1976,31.77
Walleye pollock Northern Sea of Okhotsk,1976,29.44
Walleye pollock Pacific Coast of Japan,1976,30.12
Walleye pollock Sea of Japan North,1976,31.39
Walleye pollock Western Bering Sea,1976,30.67
West coast rock lobster South Africa Area 7,1976,27.9
West coast rock lobster South Africa Area 8,1976,31.09
West coast rock lobster South Africa Areas 1-2,1976,31.0
West coast rock lobster South Africa Areas 3-4,1976,30.73
West coast rock lobster South Africa Areas 5-6,1976,28.7
White hake Gulf of Maine / Georges Bank,1976,30.93
White hake Northern Gulf of St. Lawrence,1976,29.85
"White hake Scotian Shelf, Bay of Fundy and Georges Bank",1976,29.06
White hake Southern Gulf of St. Lawrence,1976,27.38
White hake St. Pierre Bank,1976,27.66
White marlin Atlantic Ocean,1976,29.32
Whiting Kattegat and Skagerrak,1976,30.52
Whiting Rockall Bank,1976,29.88
Widow rockfish Pacific Coast,1976,28.47
Windowpane flounder Gulf of Maine / Georges Bank,1976,28.64
Windowpane flounder Southern New England /Mid Atlantic,1976,29.43
Winter flounder Georges Bank,1976,30.37
Winter flounder Southern Gulf of St. Lawrence,1976,28.14
Winter skate Gulf of Maine / Cape Hatteras,1976,29.84
Witch flounder Gulf of St. Lawrence,1976,29.32
Witch flounder ICES 3a-4-7d,1976,29.72
Witch flounder St. Pierre Bank,1976,28.75
Yellow goosefish North Pacific,1976,27.62
Yellow squat lobster Central-Southern Chile,1976,30.56
Yellowedge grouper Gulf of Mexico,1976,29.09
Yelloweye rockfish Pacific Coast,1976,29.78
Yelloweye rockfish Pacific Coast of Canada (Inside),1976,27.96
Yellowfin sole Bering Sea and Aleutian Islands,1976,27.9
Yellowfin tuna Atlantic Ocean,1976,29.57
Yellowfin tuna Central Western Pacific Ocean,1976,29.75
Yellowfin tuna Eastern Pacific,1976,29.91
Yellowfin tuna Indian Ocean,1976,28.25
Yellowtail flounder Georges Bank,1976,29.84
Yellowtail flounder Grand Banks,1976,30.1
Yellowtail flounder Southern New England /Mid Atlantic,1976,29.57
Yellowtail rockfish Northern Pacific Coast,1976,31.07
Yellowtail snapper Southern Atlantic coast and Gulf of Mexico,1976,29.61
Acadian redfish Gulf of Maine / Georges Bank,1977,28.55
Acadian redfish NAFO Division 2J3K,1977,29.93
Acadian redfish NAFO Division 3LNO and Units 1 and 2,1977,28.01
Acadian redfish Unit 3,1977,29.05
Alaska plaice Bering Sea and Aleutian Islands,1977,28.73
Alaska skate Bering Sea and Aleutian Islands,1977,30.87
Albacore tuna Indian Ocean,1977,29.22
Albacore tuna Mediterranean Sea,1977,29.92
Albacore tuna North Pacific Ocean,1977,30.36
Albacore tuna Northern Atlantic,1977,28.93
Albacore tuna South Atlantic,1977,29.62
Albacore tuna South Pacific Ocean,1977,28.91
Amberstripe scad East China Sea,1977,29.54
American lobster Gaspe (LFA 19-21),1977,29.54
American lobster Lobster Fishing Area 34,1977,31.2
American lobster Lobster Fishing Area 41,1977,29.68
American lobster Lobster Fishing Areas 3-14,1977,29.78
American lobster Lobster Fishing Areas 35-38,1977,29.16
American lobster Magdalen Islands (LFA 22),1977,30.67
American lobster Southern Gulf of St. Lawrence,1977,28.39
American plaice Flemish Cap,1977,27.7
American plaice Grand Banks,1977,30.46
American plaice Gulf of Maine / Georges Bank,1977,29.4
American plaice Labrador - NE Newfoundland,1977,31.25
American plaice Scotian Shelf and Bay of Fundy,1977,29.24
American plaice Southern Gulf of St. Lawrence,1977,29.47
American plaice St. Pierre Bank,1977,29.91
"Anchovy Adriatic Sea (GSA 17,18)",1977,30.77
Anchovy Northern Spain,1977,28.83
Anchovy South Africa,1977,28.63
Angel shark Northeast Atlantic,1977,30.6
Arabesque greenling South coast of Hokkaido,1977,30.11
Arrowtooth flounder Bering Sea and Aleutian Islands,1977,29.71
Arrowtooth flounder Gulf of Alaska,1977,29.13
Arrowtooth flounder Pacific Coast,1977,27.78
Atka mackerel Bering Sea and Aleutian Islands,1977,30.84
Atka mackerel Gulf of Alaska,1977,29.8
Atlantic bluefin tuna Eastern Atlantic,1977,30.79
Atlantic bluefin tuna Western Atlantic,1977,29.53
Atlantic butterfish Gulf of Maine / Cape Hatteras,1977,29.28
Atlantic cod Celtic Sea,1977,29.67
Atlantic cod Eastern Baltic,1977,29.23
Atlantic cod Eastern Scotian Shelf,1977,29.12
Atlantic cod Faroe Bank,1977,28.78
Atlantic cod Faroe Plateau,1977,29.38
Atlantic cod Flemish Cap,1977,29.44
Atlantic cod Georges Bank,1977,27.55
Atlantic cod ICES 3a(west)-4-7d,1977,30.4
